City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,New Norfolk,AU,-42.7826,147.0587,56.66,69,100,3.0,overcast clouds
80,Ghanzi,BW,-21.5667,21.7833,66.58,76,63,8.99,broken clouds
81,Buzmeyin,TM,38.0507,58.2056,54.45,77,99,8.59,overcast clouds
82,Viedma,AR,-40.8135,-62.9967,59.81,73,1,11.41,clear sky
83,Kutum,SD,14.2,24.6667,77.22,17,7,1.81,clear sky
84,Tautira,PF,-17.7333,-149.15,81.3,72,22,12.75,few clouds
85,Turinsk,RU,58.0458,63.696,27.28,89,59,2.24,broken clouds
86,Paamiut,GL,61.994,-49.6678,26.38,81,99,1.43,overcast clouds
87,Cabedelo,BR,-6.9811,-34.8339,80.53,77,83,9.04,broken clouds
88,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,77,68,10.85,broken clouds
89,Aklavik,CA,68.2191,-135.0107,20.05,76,100,14.52,overcast clouds
90,Diego De Almagro,CL,-26.3667,-70.05,62.44,44,0,3.09,clear sky
91,Grand Gaube,MU,-20.0064,57.6608,75.38,91,30,1.99,scattered clouds
92,Salinopolis,BR,-0.6136,-47.3561,78.15,87,100,7.14,moderate rain
93,Kaniama,CD,-7.5667,24.1833,67.57,93,100,3.94,overcast clouds
94,Portland,US,45.5234,-122.6762,60.62,44,100,5.01,overcast clouds
95,Kruisfontein,ZA,-34.0033,24.7314,58.89,82,25,4.9,scattered clouds
96,Albany,US,42.6001,-73.9662,44.92,54,65,4.0,broken clouds
97,Kaeo,NZ,-35.1,173.7833,68.32,97,100,15.52,overcast clouds
98,Isangel,VU,-19.55,169.2667,82.06,74,100,1.61,overcast clouds
99,Fort-Shevchenko,KZ,44.5086,50.263,53.49,69,2,10.11,clear sky
100,Cockburn Town,TC,21.4612,-71.1419,77.77,85,15,21.27,few clouds
101,Saint-Georges,GD,12.0564,-61.7485,79.03,77,94,14.41,overcast clouds
102,Buala,SB,-8.145,159.5921,83.34,75,94,7.87,light rain
103,Belyy Yar,RU,53.6039,91.3903,48.09,37,0,4.47,clear sky
