City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Amberley,US,2022-04-17 00:57:38,39.2048,-84.428,51.93,45,14,3.0
68,Mombasa,KE,2022-04-17 00:57:39,-4.0547,39.6636,77.41,94,75,5.75
69,Kapaa,US,2022-04-17 00:57:39,22.0752,-159.319,80.58,97,97,1.01
70,Dudinka,RU,2022-04-17 00:57:39,69.4058,86.1778,11.01,96,100,13.13
71,Basco,PH,2022-04-17 00:57:40,20.4487,121.9702,76.28,78,64,16.64
72,Cape Town,ZA,2022-04-17 00:54:36,-33.9258,18.4232,60.91,72,0,11.99
73,Fortuna,US,2022-04-17 00:57:40,40.5982,-124.1573,53.92,63,0,12.66
74,Dali,CN,2022-04-17 00:57:40,25.7,100.1833,63.75,56,0,5.59
75,Souillac,MU,2022-04-17 00:57:41,-20.5167,57.5167,75.58,100,75,11.5
76,Turayf,SA,2022-04-17 00:57:41,31.6725,38.6637,55.65,22,0,6.91
77,Saldanha,ZA,2022-04-17 00:57:41,-33.0117,17.9442,59.05,67,0,11.01
78,Airai,TL,2022-04-17 00:57:42,-8.9266,125.4092,72.14,63,28,2.24
79,Puerto Ayora,EC,2022-04-17 00:53:03,-0.7393,-90.3518,75.52,90,90,5.64
80,Cidreira,BR,2022-04-17 00:57:42,-30.1811,-50.2056,65.95,76,100,7.23
81,Nanortalik,GL,2022-04-17 00:57:42,60.1432,-45.2371,29.05,85,93,7.61
82,Qrendi,MT,2022-04-17 00:57:43,35.8347,14.4583,58.1,94,40,10.36
83,Margate,GB,2022-04-17 00:57:43,51.3813,1.3862,51.31,84,90,1.01
84,Port Lincoln,AU,2022-04-17 00:55:38,-34.7333,135.8667,67.3,73,100,9.6
85,Chuy,UY,2022-04-17 00:57:43,-33.6971,-53.4616,59.52,84,1,5.97
86,Torbay,CA,2022-04-17 00:54:17,47.6666,-52.7314,46.58,58,40,28.77
87,Anito,PH,2022-04-17 00:57:44,12.4497,125.2886,82.17,78,35,6.53
88,Doha,QA,2022-04-17 00:57:28,25.2867,51.5333,80.58,41,0,11.5
89,Eyl,SO,2022-04-17 00:57:44,7.9803,49.8164,79.72,80,94,3.85
90,Cortez,US,2022-04-17 00:57:44,37.3489,-108.5859,66.04,17,100,26.55
91,Hilo,US,2022-04-17 00:48:44,19.7297,-155.09,73.27,89,100,10.0
92,Changqing,CN,2022-04-17 00:57:45,36.5575,116.7272,60.67,26,81,12.39
93,Yellowknife,CA,2022-04-17 00:53:04,62.456,-114.3525,14.56,48,20,6.91
94,Hasaki,JP,2022-04-17 00:58:45,35.7333,140.8333,59.29,54,100,9.26
95,Buchanan,LR,2022-04-17 00:58:46,5.8808,-10.0467,78.22,87,98,1.81
96,Kununurra,AU,2022-04-17 00:56:11,-15.7667,128.7333,87.78,66,94,3.44
97,Sao Joao Da Barra,BR,2022-04-17 00:58:46,-21.6403,-41.0511,69.84,74,34,10.63
98,Troitsko-Pechorsk,RU,2022-04-17 00:58:46,62.7084,56.1964,14.05,94,100,4.38
99,Tasiilaq,GL,2022-04-17 00:55:37,65.6145,-37.6368,34.92,97,100,9.42
